Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2025); ; 
Code;Libellé;Loyer d'annonce par m² charges comprises pour un appartement type du parc privé locatif 2024
01001;L'Abergement-Clémenciat;12.6
01002;L'Abergement-de-Varey;10.7
01004;Ambérieu-en-Bugey;11.9
01005;Ambérieux-en-Dombes;12.1
01006;Ambléon;10.4
01007;Ambronay;10.8
01008;Ambutrix;12.6
01009;Andert-et-Condon;10.8
01010;Anglefort;10.3
01011;Apremont;10.4
01012;Aranc;8.4
01013;Arandas;10
01014;Arbent;8.5
01015;Arboys en Bugey;10.8
01016;Arbigny;9.8
01017;Argis;8.4
01019;Armix;8.7
01021;Ars-sur-Formans;10.1
01022;Artemare;11.3
01023;Asnières-sur-Saône;9.9
01024;Attignat;10.2
01025;Bâgé-Dommartin;9.9
01026;Bâgé-le-Châtel;9.4
01027;Balan;13.7
01028;Baneins;12.6
01029;Beaupont;8.2
01030;Beauregard;12.3
01031;Bellignat;10.7
01032;Béligneux;14.8
01033;Valserhône;16.9
01034;Belley;11.3
01035;Belleydoux;12.4
01036;Valromey-sur-Séran;10.3
01037;Bénonces;10
01038;Bény;9.4
01040;Béréziat;9.8
01041;Bettant;10.8
01042;Bey;10.2
01043;Beynost;13.4
01044;Billiat;10.3
01045;Birieux;11.9
01046;Biziat;10.5
01047;Blyes;12.8
01049;La Boisse;13.2
01050;Boissey;8.7
01051;Bolozon;10.6
01052;Bouligneux;10.4
01053;Bourg-en-Bresse;11.5
01054;Bourg-Saint-Christophe;13.7
01056;Boyeux-Saint-Jérôme;8.4
01057;Boz;9.9
01058;Brégnier-Cordon;11.7
01060;Brénod;8.7
01061;Brens;10.8
01062;Bressolles;13.7
01063;Brion;10.4
01064;Briord;10.4
01065;Buellas;10.2
01066;La Burbanche;8.7
01067;Ceignes;8.9
01068;Cerdon;8.4
01069;Certines;9.6
01071;Cessy;20.8
01072;Ceyzériat;10.2
01073;Ceyzérieu;11.8
01074;Chalamont;11.2
01075;Chaleins;11.4
01076;Chaley;8.4
01077;Challes-la-Montagne;10.6
01078;Challex;22.3
01079;Champagne-en-Valromey;10.3
01080;Champdor-Corcelles;8.7
01081;Champfromier;12.7
01082;Chanay;14.4
01083;Chaneins;12.6
01084;Chanoz-Châtenay;10.5
01085;La Chapelle-du-Châtelard;12.4
01087;Charix;10.3
01088;Charnoz-sur-Ain;12.6
01089;Château-Gaillard;10.7
01090;Châtenay;10.6
01092;Châtillon-la-Palud;12.8
01093;Châtillon-sur-Chalaronne;12
01094;Chavannes-sur-Reyssouze;8.7
01095;Nivigne et Suran;8.1
01096;Chaveyriat;10.5
01098;Chazey-Bons;11.3
01099;Chazey-sur-Ain;12.8
01100;Cheignieu-la-Balme;11.3
01101;Chevillard;8.9
01102;Chevroux;8.7
01103;Chevry;20.4
01104;Chézery-Forens;12.4
01105;Civrieux;13.6
01106;Cize;9.1
01107;Cleyzieu;10
01108;Coligny;8.8
01109;Collonges;18.2
01110;Colomieu;10.8
01111;Conand;10
01112;Condamine;8.7
01113;Condeissiat;10.2
01114;Confort;12.7
01115;Confrançon;10.9
01116;Contrevoz;10.4
01117;Conzieu;10.4
01118;Corbonod;14.4
01121;Corlier;8.4
01123;Cormoranche-sur-Saône;10.2
01124;Cormoz;9.1
01125;Corveissiat;9.1
01127;Courmangoux;8.1
01128;Courtes;8.7
01129;Crans;12.8
01130;Bresse Vallons;9.4
01133;Cressin-Rochefort;11.3
01134;Crottet;9.9
01135;Crozet;20.6
01136;Cruzilles-lès-Mépillat;10.2
01138;Culoz-Béon;12.5
01139;Curciat-Dongalon;8.7
01140;Curtafond;9.4
01141;Cuzieu;11.3
01142;Dagneux;14.4
01143;Divonne-les-Bains;25.8
01145;Dompierre-sur-Veyle;10.6
01146;Dompierre-sur-Chalaronne;12.6
01147;Domsure;8.2
01148;Dortan;8.5
01149;Douvres;11.7
01150;Drom;9.1
01151;Druillat;10.6
01152;Échallon;12.7
01153;Échenevex;23
01155;Évosges;8.4
01156;Faramans;12.8
01157;Fareins;12
01158;Farges;20.1
01159;Feillens;11.3
01160;Ferney-Voltaire;29.4
01162;Flaxieu;11.8
01163;Foissiat;9.2
01165;Francheleins;10.1
01166;Frans;12
01167;Garnerans;10.1
01169;Genouilleux;12.6
01170;Béard-Géovreissiat;10.4
01171;Géovreisset;10.4
01173;Gex;19.9
01174;Giron;12.7
01175;Gorrevod;8.7
01177;Grand-Corent;9.6
01179;Grièges;10.2
01180;Grilly;22.5
01181;Groissiat;10.4
01183;Guéreins;12.6
01184;Hautecourt-Romanèche;9.6
01185;Plateau d'Hauteville;8.9
01187;Haut Valromey;10.3
01188;Illiat;10.1
01189;Injoux-Génissiat;10.3
01190;Innimond;10.4
01191;Izenave;8.7
01192;Izernore;8.9
01193;Izieu;11.7
01194;Jassans-Riottier;13
01195;Jasseron;9.6
01196;Jayat;8.7
01197;Journans;9.6
01198;Joyeux;12.4
01199;Jujurieux;10.7
01200;Labalme;10.6
01202;Lagnieu;11.6
01203;Laiz;10.1
01204;Le Poizat-Lalleyriat;10.3
01206;Lantenay;8.7
01207;Lapeyrouse;10.4
01208;Lavours;11.3
01209;Léaz;18.5
01210;Lélex;13.8
01211;Lent;9.7
01212;Lescheroux;8.7
01213;Leyment;12.6
01214;Leyssard;8.9
01215;Surjoux-Lhopital;14.4
01216;Lhuis;11.7
01219;Lompnas;10
01224;Loyettes;13.2
01225;Lurcy;10.1
01227;Magnieu;11.8
01228;Maillat;8.9
01229;Malafretaz;9.4
01230;Mantenay-Montlin;8.7
01231;Manziat;9.9
01232;Marboz;8.5
01233;Marchamp;10.4
01234;Marignieu;11.3
01235;Marlieux;11.1
01236;Marsonnas;8.7
01237;Martignat;10.4
01238;Massieux;13.6
01239;Massignieu-de-Rives;11.8
01240;Matafelon-Granges;10.6
01241;Meillonnas;9.1
01242;Mérignat;8.4
01243;Messimy-sur-Saône;11.4
01244;Meximieux;13.3
01245;Bohas-Meyriat-Rignat;9.6
01246;Mézériat;10.5
01247;Mijoux;13.8
01248;Mionnay;13.6
01249;Miribel;14.3
01250;Misérieux;12
01252;Mogneneins;12.6
01254;Montagnat;10.7
01255;Montagnieu;10
01257;Montanges;12.7
01258;Montceaux;10.1
01259;Montcet;9.4
01260;Le Montellier;11.9
01261;Monthieux;13.6
01262;Montluel;12.7
01263;Montmerle-sur-Saône;10.6
01264;Montracol;10.2
01265;Montréal-la-Cluse;10.2
01266;Montrevel-en-Bresse;9.9
01267;Nurieux-Volognat;10.4
01268;Murs-et-Gélignieux;11.7
01269;Nantua;9.8
01272;Neuville-les-Dames;9.3
01273;Neuville-sur-Ain;10.6
01274;Les Neyrolles;10.3
01275;Neyron;14.4
01276;Niévroz;14
01277;Nivollet-Montgriffon;10.7
01279;Oncieu;10.7
01280;Ordonnaz;10.4
01281;Ornex;21.7
01282;Outriaz;8.7
01283;Oyonnax;10.3
01284;Ozan;8.7
01285;Parcieux;13.6
01286;Parves et Nattages;10.8
01288;Péron;20.8
01289;Péronnas;11.8
01290;Pérouges;13.7
01291;Perrex;10.5
01293;Peyriat;8.7
01294;Peyrieu;10.8
01295;Peyzieux-sur-Saône;12.6
01296;Pirajoux;9.1
01297;Pizay;12.8
01298;Plagne;12.7
01299;Le Plantay;12.4
01301;Polliat;9.5
01302;Pollieu;11.8
01303;Poncin;10.8
01304;Pont-d'Ain;11
